2,GREENLAND,Greenland
3,CANADA,Canada
4,UNITED STATES,United States Of America
5,SAINT PIERRE AND MIQUELON,Saint Pierre and Miquelon
6,BERMUDA,Bermuda
7,BAHAMAS,Commonwealth of the Bahamas
8,TURKS AND CAICOS ISLANDS,Turks and Caicos Islands
9,CUBA,Republic of Cuba
10,MEXICO,United States of Mexico
11,CAYMAN ISLANDS,Cayman Islands
12,HAITI,Republic of Haiti
13,PUERTO RICO,Puerto Rico
14,"VIRGIN ISLANDS,BRITISH",British Virgin Islands
15,DOMINICAN REPUBLIC,Dominican Republic
16,"VIRGIN ISLANDS,U.S.",Virgin Islands of the United States
17,ANGUILLA,Anguilla
18,JAMAICA,Jamaica
19,SAINT KITTS AND NEVIS,Federation of Saint Kitts and Nevis
20,ANTIGUA AND BARBUDA,Antigua and Barbuda
21,MONTSERRAT,Montserrat
22,BELIZE,Belize
23,GUADELOUPE,Guadeloupe
24,GUATEMALA,Republic of Guatemala
25,DOMINICA,Commonwealth of Dominica
26,MARTINIQUE,Martinique
27,NICARAGUA,Republic of Nicaragua
28,SAINT LUCIA,Saint Lucia
29,EL SALVADOR,Republic of El Salvador
30,HONDURAS,Republic of Honduras
31,BARBADOS,Barbados
32,SAINT VINCENT AND THE GRENADINES,Saint Vincent and the Grenadines
33,ARUBA,Aruba
34,COLOMBIA,Republic of Colombia
35,GRENADA,Grenada
36,NETHERLANDS ANTILLES,Netherlands Antilles
37,TRINIDAD AND TOBAGO,Republic of Trinidad and Tobago
38,COSTA RICA,Republic of Costa Rica
39,FRANCE,France Republic
40,PANAMA,Republic of Panama
41,MARSHALL ISLANDS,Republic of the Marshall Islands
42,PALAU,Republic of Palau
43,KIRIBATI,Republic of Kiribati
44,UNITED STATES,United States Of America
45,NAURU,Republic of Nauru
46,SOLOMON ISLANDS,Solomon Islands
47,PAPUA NEW GUINEA,Independent State of Papua New Guinea
48,COOK ISLANDS,Cook Islands
49,AMERICAN SAMOA,American Samoa
50,AUSTRALIA,Commonwealth of Australia
51,VANUATU,Republic of Vanuatu
52,FIJI,Republic of Fiji Islands
53,TONGA,Kingdom of Tonga
54,NIUE,Niue
55,NEW CALEDONIA,New Caledonia
56,PITCAIRN,Pitcairn
57,NORFOLK ISLAND,Norfolk Island
58,HEARD ISLAND AND MCDONALD ISLANDS,Heard Island and McDonald Islands
59,BOUVET ISLAND,Bouvet Island
60,NORTHERN MARIANA ISLANDS,Commonwealth of the Northern Mariana Isl
61,ANTARCTICA,Antarctica
